url,name,language
https://www.lyngsat.com/providers/cl/TV-Nacional-de-Chile.html,"TV Nacional de Chile",
https://www.lyngsat.com/providers/cm/CRTV.html,CRTV,
https://www.lyngsat.com/providers/cn/CCTV.html,CCTV,
https://www.lyngsat.com/providers/cn/CETV.html,CETV,
https://www.lyngsat.com/providers/cn/CGTN.html,CGTN,
https://www.lyngsat.com/providers/cn/China-Radio-International.html,"China Radio International",
https://www.lyngsat.com/providers/cn/JSBC.html,JSBC,
https://www.lyngsat.com/providers/cn/Nei-Monggol-TV.html,"Nei Monggol TV",
https://www.lyngsat.com/providers/cn/Shanghai-Media-Group.html,"Shanghai Media Group",
https://www.lyngsat.com/providers/cn/Sichuan-TV.html,"Sichuan TV",
https://www.lyngsat.com/providers/cn/Voice-of-Strait.html,"Voice of Strait",
https://www.lyngsat.com/providers/cn/Xinjiang-TV.html,"Xinjiang TV",
https://www.lyngsat.com/providers/cn/Xizang-TV.html,"Xizang TV",
https://www.lyngsat.com/providers/co/Caracol-TV.html,"Caracol TV",
https://www.lyngsat.com/providers/cr/Enlace.html,Enlace,
https://www.lyngsat.com/providers/cr/Repretel.html,Repretel,
https://www.lyngsat.com/providers/de/North-Telecom.html,"North Telecom",
https://www.lyngsat.com/providers/do/Antena-7.html,"Antena 7",
https://www.lyngsat.com/providers/do/Sertel.html,Sertel,
https://www.lyngsat.com/providers/dz/TDA.html,TDA,
https://www.lyngsat.com/providers/fj/Walesi.html,Walesi,
https://www.lyngsat.com/providers/fr/Persiana-Media-Group.html,"Persiana Media Group",
https://www.lyngsat.com/providers/fr/RFI.html,RFI,
https://www.lyngsat.com/providers/fr/TV5Monde.html,TV5Monde,
https://www.lyngsat.com/providers/hk/AsiaSat.html,AsiaSat,
https://www.lyngsat.com/providers/hk/SpeedCast.html,SpeedCast,
https://www.lyngsat.com/providers/hn/Suyapa-TV.html,"Suyapa TV",
https://www.lyngsat.com/providers/hn/Televicentro.html,Televicentro,
https://www.lyngsat.com/providers/id/Metra-TV.html,"Metra TV",
https://www.lyngsat.com/providers/in/AIR.html,AIR,
https://www.lyngsat.com/providers/in/Doordarshan.html,Doordarshan,
https://www.lyngsat.com/providers/in/Indiasign.html,Indiasign,
https://www.lyngsat.com/providers/in/Indo-Teleports.html,"Indo Teleports",
https://www.lyngsat.com/providers/in/New-Delhi-TV.html,"New Delhi TV",
https://www.lyngsat.com/providers/in/Planetcast.html,Planetcast,
https://www.lyngsat.com/providers/in/Raj-TV-Network.html,"Raj TV Network",
https://www.lyngsat.com/providers/in/Sahara-Samay.html,"Sahara Samay",
https://www.lyngsat.com/providers/in/Sun-TV-Network.html,"Sun TV Network",
https://www.lyngsat.com/providers/in/Tata-Communications.html,"Tata Communications",
https://www.lyngsat.com/providers/it/IKO-MG.html,"IKO MG",
https://www.lyngsat.com/providers/jm/SportsMax.html,SportsMax,
https://www.lyngsat.com/providers/jp/NHK-World-Network.html,"NHK World Network",
https://www.lyngsat.com/providers/jp/Sky-PerfecTV.html,"Sky PerfecTV!",
https://www.lyngsat.com/providers/ke/KTN.html,KTN,
https://www.lyngsat.com/providers/ke/RMS-Radio.html,"RMS Radio",
https://www.lyngsat.com/providers/ke/Signet.html,Signet,
https://www.lyngsat.com/providers/ke/StarTimes-TV-Kenya.html,"StarTimes TV Kenya",
https://www.lyngsat.com/providers/kr/MBC-America.html,"MBC America",
https://www.lyngsat.com/providers/la/LaoSat.html,LaoSat,
https://www.lyngsat.com/providers/lu/Intelsat.html,Intelsat,
