url,name,beam,frequency,symbol_rate,forward_error_correction,video_encoding,language,encryption,ch_type
https://www.lyngsat.com/radiochannels/cl/Radio-Agricultura.html,Radio Agricultura,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Radio-Beethoven.html,Radio Beethoven,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Radio-Elquina.html,Radio Elquina,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Radio-Imagina.html,Radio Imagina,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Radio-Pauta.html,Radio Pauta,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Radio-Puclaro.html,Radio Puclaro,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/RadioActiva.html,RadioActiva,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Rock-and-Pop.html,Rock & Pop,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cm/CRTV-National-Radio.html,CRTV National Radio,C,3832 L,7585,3-Feb,,Fre,,radio
https://www.lyngsat.com/radiochannels/cn/950-Music-Radio.html,95.0 Music Radio,C,3885 H,5720,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Alxa-Chinese-Radio.html,Alxa Chinese Radio,None,4171 H,9200,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Alxa-Mongolian-Radio.html,Alxa Mongolian Radio,None,4171 H,9200,4-Mar,,Mon,,radio
https://www.lyngsat.com/radiochannels/cn/Anhui-Economic-Radio.html,Anhui Economic Radio,None,3929 V,8840,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Anhui-Music-Radio.html,Anhui Music Radio,None,3929 V,8840,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Anhui-Peoples-Radio.html,Anhui People's Radio,None,3929 V,8840,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Beijing-News-Radio.html,Beijing News Radio,0,12020 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/Beijing-Public-Service-Radio.html,Beijing Public Service Radio,None,3951 V,9520,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/CGTN-Radio.html,CGTN Radio,None,4175 V,18000,2-Jan,,,,radio
https://www.lyngsat.com/radiochannels/cn/CHBC-1071-FM.html,CHBC 107.1 FM,C,4035 H,1073,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/China-Plus-Radio.html,China Plus Radio,None,4175 V,18000,2-Jan,,,,radio
https://www.lyngsat.com/radiochannels/cn/China-Radio-International.html,China Radio International,None,4175 V,18000,2-Jan,,,,radio
https://www.lyngsat.com/radiochannels/cn/Chongqing-City-Radio.html,Chongqing City Radio,None,3807 V,6000,4-Mar,,Yue,,radio
https://www.lyngsat.com/radiochannels/cn/Chongqing-Economic-Radio.html,Chongqing Economic Radio,None,3807 V,6000,4-Mar,,Yue,,radio
https://www.lyngsat.com/radiochannels/cn/Chongqing-Music-Radio.html,Chongqing Music Radio,None,3807 V,6000,4-Mar,,Yue,,radio
https://www.lyngsat.com/radiochannels/cn/Chongqing-News-Radio.html,Chongqing News Radio,None,3807 V,6000,4-Mar,,Yue,,radio
https://www.lyngsat.com/radiochannels/cn/Chongqing-Story-Radio.html,Chongqing Story Radio,None,3807 V,6000,4-Mar,,Yue,,radio
https://www.lyngsat.com/radiochannels/cn/CNR-1-Voice-of-China.html,CNR 1 Voice of China,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-10-Senior-Citizen-Radio.html,CNR 10 Senior Citizen Radio,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-11-Tibetan-Radio.html,CNR 11 Tibetan Radio,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-12-Reading-Radio.html,CNR 12 Reading Radio,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-13-Uyghur-Radio.html,CNR 13 Uyghur Radio,0,11980 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-14-Hong-Kong-Radio.html,CNR 14 Hong Kong Radio,None,4175 V,18000,2-Jan,,Yue,,radio
https://www.lyngsat.com/radiochannels/cn/CNR-15-Traffic-Radio.html,CNR 15 Traffic Radio,None,4175 V,18000,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/CNR-16-Countryside-Radio.html,CNR 16 Countryside Radio,None,4175 V,18000,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/CNR-17-Kazakh-Radio.html,CNR 17 Kazakh Radio,None,12020 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/CNR-2-Voice-of-Finance.html,CNR 2 Voice of Finance,0,11980 R,28800,4-Mar,,,Videoguard,radio
